notarealmovie, fakegenre, fakedirector, fakeactor
The Social Network,Biography,David Fincher,Andrew Garfield
The Soloist,Biography,Joe Wright,Robert Downey Jr.
The Son of No One,Crime,Dito Montiel,Channing Tatum
The Sorcerer's Apprentice,Action,Jon Turteltaub,Nicolas Cage
The Sound and the Shadow,Comedy,Justin Paul Miller,Mary Kate Wiles
The Sound of Music,Biography,Robert Wise,Eleanor Parker
The Spanish Prisoner,Drama,David Mamet,Ben Gazzara
The Specialist,Action,Luis Llosa,Sylvester Stallone
The Specials,Action,Craig Mazin,Judy Greer
The Spectacular Now,Comedy,James Ponsoldt,Shailene Woodley
The Spiderwick Chronicles,Adventure,Mark Waters,Martin Short
The Spirit,Action,Frank Miller,Scarlett Johansson
The SpongeBob Movie: Sponge Out of Water,Adventure,Paul Tibbitt,Tim Conway
The SpongeBob SquarePants Movie,Adventure,Stephen Hillenburg,Scarlett Johansson
The Spy Next Door,Action,Brian Levant,Madeline Carroll
The Spy Who Loved Me,Action,Lewis Gilbert,Caroline Munro
The Square,Documentary,Jehane Noujaim,Khalid Abdalla
The Squid and the Whale,Comedy,Noah Baumbach,William Baldwin
The Statement,Drama,Norman Jewison,Charlotte Rampling
The Station Agent,Comedy,Tom McCarthy,Peter Dinklage
The Stepfather,Crime,Nelson McCormick,Sela Ward
The Stepford Wives,Comedy,Frank Oz,Jon Lovitz
The Stewardesses,Comedy,Al Silliman Jr.,Christina Hart
The Sticky Fingers of Time,SciFi,Hilary Brougher,James Urbaniak
The Sting,Comedy,George Roy Hill,Eileen Brennan
The Story of Us,Comedy,Rob Reiner,Bruce Willis
The Straight Story,Biography,David Lynch,Sissy Spacek
The Sum of All Fears,Action,Phil Alden Robinson,Morgan Freeman
The Sweeney,Action,Nick Love,Hayley Atwell
The Sweet Hereafter,Drama,Atom Egoyan,Bruce Greenwood
The Sweetest Thing,Comedy,Roger Kumble,Judith Chapman
The Swindle,Comedy,Claude Chabrol,Isabelle Huppert
The Switch,Comedy,Josh Gordon,Caroline Dhavernas
The Tailor of Panama,Drama,John Boorman,Daniel Radcliffe
The Taking of Pelham 1 2 3,Action,Tony Scott,Denzel Washington
The Tale of Despereaux,Adventure,Sam Fell,Emma Watson
The Talented Mr. Ripley,Crime,Anthony Minghella,Philip Seymour Hoffman
The Tempest,Comedy,Julie Taymor,Djimon Hounsou
The Ten,Comedy,David Wain,Jon Hamm
The Terminal,Comedy,Steven Spielberg,Tom Hanks
The Terminator,Action,James Cameron,Michael Biehn
The Texas Chain Saw Massacre,Horror,Tobe Hooper,Gunnar Hansen
The Texas Chain Saw Massacre,Horror,Tobe Hooper,Gunnar Hansen
The Texas Chainsaw Massacre 2,Comedy,Tobe Hooper,Bill Johnson
The Texas Chainsaw Massacre: The Beginning,Horror,Jonathan Liebesman,Matt Bomer
The Theory of Everything,Biography,James Marsh,Eddie Redmayne
The Thin Red Line,Drama,Terrence Malick,Nick Stahl
The Thing,Horror,John Carpenter,Wilford Brimley
The Thirteenth Floor,Mystery,Josef Rusnak,Gretchen Mol
The Thomas Crown Affair,Crime,John McTiernan,Mark Margolis
The Three Musketeers,Action,Paul W.S. Anderson,Milla Jovovich
The Three Stooges,Comedy,Bobby Farrelly,Kate Upton
The Tigger Movie,Animation,Jun Falkenstein,Kath Soucie
The Timber,Adventure,Anthony O'Brien,James Ransone
The Time Machine,Action,Simon Wells,Mark Addy
The Time Traveler's Wife,Drama,Robert Schwentke,Arliss Howard
The To Do List,Comedy,Maggie Carey,Donald Glover
The Tooth Fairy,Horror,Chuck Bowman,P.J. Soles
The Torture Chamber of Dr. Sadism,Horror,Harald Reinl,Christopher Lee
The Touch,Romance,Jane Clark,Necar Zadegan
The Tourist,Action,Florian Henckel von Donnersmarck,Johnny Depp
The Tourist,Action,Florian Henckel von Donnersmarck,Johnny Depp
The Town,Crime,Ben Affleck,Jeremy Renner
The Toxic Avenger,Action,Michael Herz,Patrick Kilpatrick
The Toxic Avenger Part II,Action,Michael Herz,Phoebe Legere
The Train,Thriller,John Frankenheimer,Jeanne Moreau
The Transporter,Action,Louis Leterrier,Jason Statham
The Transporter Refueled,Action,Camille Delamarre,Ed Skrein
The Tree of Life,Drama,Terrence Malick,Brad Pitt
The Trials of Darryl Hunt,Crime,Ricki Stern,Darryl Hunt
The Triplets of Belleville,Animation,Sylvain Chomet,Michel Robin
The Trouble with Harry,Comedy,Alfred Hitchcock,Jerry Mathers
The True Story of Puss'N Boots,Adventure,Jérôme Deschamps,Yolande Moreau
The Truman Show,Comedy,Peter Weir,Natascha McElhone
The Tuxedo,Action,Kevin Donovan,Romany Malco
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Bill Condon,Robert Pattinson
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Bill Condon,Robert Pattinson
The Twilight Saga: Eclipse,Adventure,David Slade,Robert Pattinson
The Twilight Saga: New Moon,Adventure,Chris Weitz,Robert Pattinson
The Ugly Truth,Comedy,Robert Luketic,Gerard Butler
The Ultimate Gift,Drama,Michael O. Sajbel,Bill Cobbs
The Unborn,Drama,David S. Goyer,Gary Oldman
The Unborn,Drama,David S. Goyer,Gary Oldman
The Untouchables,Crime,Brian De Palma,Robert De Niro
The Upside of Anger,Comedy,Mike Binder,Alicia Witt
The Usual Suspects,Crime,Bryan Singer,Kevin Spacey
The Valley of Decision,Drama,Tay Garnett,Jessica Tandy
The Vatican Exorcisms,Horror,Joe Marino,Piero Maggiò
The Vatican Tapes,Horror,Mark Neveldine,Djimon Hounsou
The Veil,Horror,Phil Joanou,Lily Rabe
The Velocity of Gary,Comedy,Dan Ireland,Salma Hayek
The Verdict,Drama,Sidney Lumet,Charlotte Rampling
The Village,Drama,M. Night Shyamalan,Bryce Dallas Howard
The Virgin Suicides,Drama,Sofia Coppola,Kirsten Dunst
The Virginity Hit,Comedy,Huck Botko,Matt Bennett
The Visit,Horror,M. Night Shyamalan,Ocean James
The Visual Bible: The Gospel of John,Biography,Philip Saville,Henry Ian Cusick
The Vow,Drama,Michael Sucsy,Channing Tatum
The Wackness,Comedy,Jonathan Levine,Mary-Kate Olsen
The Wailing,Fantasy,Hong-jin Na,Jung-min Hwang
The Walk,Adventure,Robert Zemeckis,Joseph Gordon-Levitt
The Walking Deceased,Comedy,Scott Dow,Trenton Rostedt
The Warlords,Action,Peter Ho-Sun Chan,Jet Li
The Warrior's Way,Action,Sngmoo Lee,Tony Cox
The Wash,Comedy,DJ Pooh,Angell Conwell
The Watch,Action,Akiva Schaffer,Will Forte
The Watch,Action,Akiva Schaffer,Will Forte
The Watcher,Crime,Joe Charbanic,Keanu Reeves
The Water Diviner,Drama,Russell Crowe,Cem Yilmaz
The Waterboy,Comedy,Frank Coraci,Adam Sandler
The Wave,Drama,Dennis Gansel,Max Riemelt
The Way of the Gun,Action,Christopher McQuarrie,Kristin Lehman
The Way Way Back,Comedy,Nat Faxon,Steve Carell
The Weather Man,Comedy,Gore Verbinski,Nicolas Cage
The Wedding Date,Comedy,Clare Kilner,Jack Davenport
The Wedding Planner,Comedy,Adam Shankman,Matthew McConaughey
The Wendell Baker Story,Comedy,Andrew Wilson,Will Ferrell
The White Countess,Drama,James Ivory,Vanessa Redgrave
The White Ribbon,Drama,Michael Haneke,Ulrich Tukur
The Whole Nine Yards,Comedy,Jonathan Lynn,Bruce Willis
The Whole Ten Yards,Comedy,Howard Deutch,Bruce Willis
The Wicked Lady,Adventure,Michael Winner,Faye Dunaway
The Wicked Within,Horror,Jay Alaimo,William McNamara
The Widow of Saint-Pierre,Drama,Patrice Leconte,Emir Kusturica
The Wild Bunch,Action,Sam Peckinpah,William Holden
The Wild Thornberrys Movie,Adventure,Cathy Malkasian,Alfre Woodard
The Wind That Shakes the Barley,Drama,Ken Loach,Padraic Delaney
The Witch,Horror,Robert Eggers,Julian Richings
The Wiz,Adventure,Sidney Lumet,Lena Horne
The Wizard of Oz,Adventure,Victor Fleming,Margaret Hamilton
The Wolf of Wall Street,Biography,Martin Scorsese,Leonardo DiCaprio
The Wolfman,Drama,Joe Johnston,Anthony Hopkins
The Wolverine,Action,James Mangold,Hugh Jackman
The Woman Chaser,Comedy,Robinson Devor,Marilyn Rising
The Woman in Black,Drama,James Watkins,Daniel Radcliffe
The Women,Comedy,Diane English,Jada Pinkett Smith
The Wood,Comedy,Rick Famuyiwa,Omar Epps
The Words,Drama,Brian Klugman,J.K. Simmons
The Work and the Glory,Drama,Russell Holt,Eric Johnson
The Work and the Glory II: American Zion,Drama,Sterling Van Wagenen,Emily Podleski
The Work and the Story,Comedy,Nathan Smith Jones,Richard Moll
The World Is Mine,Drama,Nicolae Constantin Tanase,Iulia Ciochina
The World Is Not Enough,Action,Michael Apted,Colin Salmon
The World's End,Action,Edgar Wright,Michael Smiley
The World's Fastest Indian,Biography,Roger Donaldson,Anthony Hopkins
The Wraith,Action,Mike Marvin,Clint Howard
The Wrestler,Drama,Darren Aronofsky,Mark Margolis
The X Files,Drama,Rob Bowman,Martin Landau
The X Files: I Want to Believe,Drama,Chris Carter,Mitch Pileggi
The Yards,Crime,James Gray,Charlize Theron
The Yellow Handkerchief,Drama,Udayan Prasad,Kristen Stewart
The Young and Prodigious T.S. Spivet,Action,Jean-Pierre Jeunet,Callum Rennie
The Young Messiah,Drama,Cyrus Nowrasteh,Clive Russell
The Young Unknowns,Drama,Catherine Jelski,Leslie Bibb
The Young Victoria,Biography,Jean-Marc Vallée,Michiel Huisman
There Be Dragons,Biography,Roland Joffé,Jordi Mollà
There Goes My Baby,Comedy,Floyd Mutrux,Ricky Schroder
There Will Be Blood,Drama,Paul Thomas Anderson,Jim Meskimen
There's Something About Mary,Comedy,Bobby Farrelly,Sarah Silverman
Theresa Is a Mother,Comedy,C. Fraser Press,Elaine Bromka
They,Horror,Robert Harmon,Alexander Gould
They Came Together,Comedy,David Wain,Christopher Meloni
They Live,Horror,John Carpenter,Meg Foster
They Will Have to Kill Us First,Documentary,Johanna Schwartz,Aliou Touré
Things to Do in Denver When You're Dead,Crime,Gary Fleder,Steve Buscemi
Things We Lost in the Fire,Drama,Susanne Bier,Alison Lohman
Think Like a Man,Comedy,Tim Story,Chris Brown
Think Like a Man Too,Comedy,Tim Story,Romany Malco
Thinner,Fantasy,Tom Holland,Joe Mantegna
Thir13en Ghosts,Horror,Steve Beck,Shannon Elizabeth
Thirteen,Drama,Catherine Hardwicke,Holly Hunter
Thirteen Conversations About One Thing,Drama,Jill Sprecher,Matthew McConaughey
Thirteen Days,Drama,Roger Donaldson,Bruce Greenwood
This Christmas,Comedy,Preston A. Whitmore II,Mekhi Phifer
This Is 40,Comedy,Judd Apatow,Charlyne Yi
This Is England,Crime,Shane Meadows,Stephen Graham
This Is It,Documentary,Kenny Ortega,Misha Gabriel Hamilton
This Is Martin Bonner,Drama,Chad Hartigan,Jan Haley
This Is the End,Comedy,Evan Goldberg,Channing Tatum
This Is Where I Leave You,Comedy,Shawn Levy,Tina Fey
This Means War,Action,McG,Tom Hardy
This Thing of Ours,Crime,Danny Provenzano,Vincent Pastore
Thomas and the Magic Railroad,Adventure,Britt Allcroft,Mara Wilson
Thor,Action,Kenneth Branagh,Chris Hemsworth
Thor: The Dark World,Action,Alan Taylor,Chris Hemsworth
Thr3e,Drama,Robby Henson,Marc Blucas
Three Burials,Adventure,Tommy Lee Jones,Levon Helm
Three Kingdoms: Resurrection of the Dragon,Action,Daniel Lee,Andy Lau
Three Kings,Action,David O. Russell,Judy Greer
Three to Tango,Comedy,Damon Santostefano,Matthew Perry
Thumbsucker,Comedy,Mike Mills,Kelli Garner
Thunder and the House of Magic,Adventure,Jeremy Degruson,Kyle Hebert
Thunderball,Action,Terence Young,Desmond Llewelyn
Thunderbirds,Action,Jonathan Frakes,Sophia Myles
Tidal Wave,Action,JK Youn,Nicole Dionne
Tiger Orange,Drama,Wade Gasque,Ty Parker
Tim and Eric's Billion Dollar Movie,Comedy,Tim Heidecker,Michael Gross
Timber Falls,Horror,Tony Giglio,Brianna Brown
Time Bandits,Adventure,Terry Gilliam,Shelley Duvall
Time Changer,Drama,Rich Christiano,Gavin MacLeod
Time to Choose,Documentary,Charles Ferguson,Jane Goodall
Timecop,Action,Peter Hyams,Mia Sara
Timecrimes,Horror,Nacho Vigalondo,Karra Elejalde
Timeline,Action,Richard Donner,Paul Walker
Tin Can Man,Horror,Ivan Kavanagh,Patrick O'Donnell
Tin Cup,Comedy,Ron Shelton,Don Johnson
Tinker Tailor Soldier Spy,Drama,Tomas Alfredson,Benedict Cumberbatch
Tiny Furniture,Comedy,Lena Dunham,Lena Dunham
Titan A.E.,Action,Don Bluth,Matt Damon
Titanic,Drama,James Cameron,Leonardo DiCaprio
TMNT,Action,Kevin Munroe,Chris Evans
To Be Frank Sinatra at 100,Documentary,Simon Napier-Bell,Alice Cooper
To Die For,Comedy,Gus Van Sant,Kurtwood Smith
To Kill a Mockingbird,Crime,Robert Mulligan,Robert Duvall
To Rome with Love,Comedy,Woody Allen,Ornella Muti
To Save a Life,Drama,Brian Baugh,Randy Wayne
Tom Jones,Adventure,Tony Richardson,Albert Finney
Tombstone,Action,George P. Cosmatos,Michael Biehn
Tomcats,Comedy,Gregory Poirier,Shannon Elizabeth
Tomorrow Never Dies,Action,Roger Spottiswoode,Vincent Schiavelli
Tomorrowland,Action,Brad Bird,Judy Greer
Tootsie,Comedy,Sydney Pollack,Bill Murray
Top Cat Begins,Animation,Andrés Couturier,Sariann Monaco
Top Five,Comedy,Chris Rock,Rosario Dawson
Top Gun,Action,Tony Scott,Tom Cruise
Top Hat,Comedy,Mark Sandrich,Ginger Rogers
Top Spin,Documentary,Sara Newens,Ariel Hsing
Topaz,Drama,Alfred Hitchcock,Roscoe Lee Browne
Topsy-Turvy,Biography,Mike Leigh,Jim Broadbent
Tora! Tora! Tora!,Action,Richard Fleischer,Joseph Cotten
Torn Curtain,Thriller,Alfred Hitchcock,Tamara Toumanova
Torque,Action,Joseph Kahn,Dane Cook
Total Recall,Action,Paul Verhoeven,Ronny Cox
Total Recall,Action,Paul Verhoeven,Ronny Cox
Touching the Void,Adventure,Kevin Macdonald,Nicholas Aaron
Tower Heist,Action,Brett Ratner,Matthew Broderick
Towering Inferno,Comedy,John Blanchard,Martin Short
Town & Country,Comedy,Peter Chelsom,Del Zamora
Toy Story,Adventure,John Lasseter,Tom Hanks
Toy Story 2,Adventure,John Lasseter,Tom Hanks
Toy Story 3,Adventure,Lee Unkrich,Tom Hanks
Tracker,Action,Ian Sharp,Ray Winstone
Trade,Crime,Marco Kreuzpaintner,Zack Ward
Trade of Innocents,Drama,Christopher M. Bessette,Mira Sorvino
Trading Places,Comedy,John Landis,Don Ameche
Traffic,Crime,Steven Soderbergh,Michael O'Neill
Train,Horror,Gideon Raff,Gideon Emery
Training Day,Crime,Antoine Fuqua,Denzel Washington
Trainspotting,Drama,Danny Boyle,Kelly Macdonald
Trainwreck,Comedy,Judd Apatow,Amy Schumer
Trance,Crime,Danny Boyle,Rosario Dawson
Trance,Crime,Danny Boyle,Rosario Dawson
Transamerica,Adventure,Duncan Tucker,Kevin Zegers
Transcendence,Drama,Wally Pfister,Johnny Depp
Transformers,Action,Michael Bay,Zack Ward
Transformers: Age of Extinction,Action,Michael Bay,Bingbing Li
Transformers: Dark of the Moon,Action,Michael Bay,Glenn Morshower
Transformers: Revenge of the Fallen,Action,Michael Bay,Glenn Morshower
Transporter 2,Action,Louis Leterrier,Jason Statham
Transsiberian,Crime,Brad Anderson,Thomas Kretschmann
Trapeze,Drama,Carol Reed,Gina Lollobrigida
Trash,Adventure,Stephen Daldry,Wagner Moura
Travelers and Magicians,Adventure,Khyentse Norbu,Tshewang Dendup
Treachery,Drama,Travis Romero,Matthew Ziff
Treading Water,Comedy,Analeine Cal y Mayor,Zoë Kravitz
Treasure Planet,Adventure,Ron Clements,Joseph Gordon-Levitt
Trees Lounge,Comedy,Steve Buscemi,Steve Buscemi
Trekkies,Documentary,Roger Nygard,Walter Koenig
Tremors,Comedy,Ron Underwood,Reba McEntire
Triangle,Fantasy,Christopher Smith,Rachael Carpani
Triple 9,Action,John Hillcoat,Kate Winslet
Trippin',Comedy,David Raynr,Donald Faison
Tristram Shandy: A Cock and Bull Story,Comedy,Michael Winterbottom,Steve Coogan
Trollhunter,Comedy,André Øvredal,Otto Jespersen
TRON: Legacy,Action,Joseph Kosinski,Jeff Bridges
TRON: Legacy,Action,Joseph Kosinski,Jeff Bridges
Troop Beverly Hills,Adventure,Jeff Kanew,Craig T. Nelson
Tropic Thunder,Action,Ben Stiller,Robert Downey Jr.
Trouble with the Curve,Drama,Robert Lorenz,Clint Eastwood
Troy,Adventure,Wolfgang Petersen,Brad Pitt
Trucker,Drama,James Mottern,Jimmy Bennett
True Grit,Adventure,Ethan Coen,Matt Damon
True Lies,Action,James Cameron,Jamie Lee Curtis
True Romance,Action,Tony Scott,Brad Pitt
Trust,Crime,David Schwimmer,Noah Emmerich
Trust the Man,Comedy,Bart Freundlich,Billy Crudup
Truth or Die,Horror,Robert Heath,David Oakes
Tsotsi,Crime,Gavin Hood,Terry Pheto
Tuck Everlasting,Drama,Jay Russell,William Hurt
Tucker and Dale vs Evil,Comedy,Eli Craig,Katrina Bowden
Tumbleweeds,Comedy,Gavin O'Connor,Kimberly J. Brown
Tupac: Resurrection,Biography,Lauren Lazin,James Cagney
Turbo,Adventure,David Soren,Ryan Reynolds
Turbulence,Action,Robert Butler,Hector Elizondo
Tusk,Comedy,Kevin Smith,Johnny Depp
Twilight,Drama,Catherine Hardwicke,Kristen Stewart
Twilight,Drama,Catherine Hardwicke,Kristen Stewart
Twilight Zone: The Movie,Fantasy,Joe Dante,Albert Brooks
Twin Falls Idaho,Drama,Michael Polish,Sasha Alexander
Twins,Comedy,Ivan Reitman,Kelly Preston
Twister,Action,Jan de Bont,Philip Seymour Hoffman
Twixt,Comedy,Francis Ford Coppola,Alden Ehrenreich
Two Brothers,Adventure,Jean-Jacques Annaud,David Gant
Two Can Play That Game,Comedy,Mark Brown,Mo'Nique
Two Evil Eyes,Horror,Dario Argento,John Amos
Two Girls and a Guy,Comedy,James Toback,Robert Downey Jr.
Two Lovers,Drama,James Gray,Isabella Rossellini
Two Lovers and a Bear,Drama,Kim Nguyen,Gordon Pinsent
Two Weeks Notice,Comedy,Marc Lawrence,Dorian Missick
Tycoon,Adventure,Richard Wallace,Judith Anderson
U2 3D,Documentary,Catherine Owens,Bono
U-571,Action,Jonathan Mostow,Matthew McConaughey
UHF,Comedy,Jay Levey,Fran Drescher
Ulee's Gold,Drama,Victor Nunez,Peter Fonda
Ultramarines: A Warhammer 40000 Movie,Action,Martyn Pick,Sean Pertwee
Ultraviolet,Action,Kurt Wimmer,Milla Jovovich
Unaccompanied Minors,Adventure,Paul Feig,Tyler James Williams
Unbreakable,Drama,M. Night Shyamalan,Robin Wright
Unbroken,Biography,Angelina Jolie Pitt,Finn Wittrock
Unbroken,Biography,Angelina Jolie Pitt,Finn Wittrock
Under Siege 2: Dark Territory,Action,Geoff Murphy,Peter Greene
Under the Rainbow,Comedy,Steve Rash,Mako
Under the Same Moon,Adventure,Patricia Riggen,America Ferrera
Under the Skin,Drama,Jonathan Glazer,Scarlett Johansson
Under the Tuscan Sun,Comedy,Audrey Wells,Raoul Bova
Underclassman,Action,Marcos Siega,Cheech Marin
Undercover Brother,Action,Malcolm D. Lee,Dave Chappelle
Underdogs,Adventure,Juan José Campanella,Pablo Rago
Underworld,Action,Len Wiseman,Sophia Myles
Underworld: Awakening,Action,Måns Mårlind,Theo James
Underworld: Evolution,Action,Len Wiseman,Sophia Myles
Underworld: Rise of the Lycans,Action,Patrick Tatopoulos,Craig Parker
Undiscovered,Comedy,Meiert Avis,Fisher Stevens
Undisputed,Action,Walter Hill,Fisher Stevens
UnDivided,Documentary,Sam Martin,Sam Adams
Une Femme Mariée,Drama,Jean-Luc Godard,Philippe Leroy
Unfinished Business,Comedy,Ken Scott,Tom Wilkinson
Unforgiven,Drama,Clint Eastwood,Clint Eastwood
Unfriended,Horror,Levan Gabriadze,Shelley Hennig
United 93,Drama,Paul Greengrass,Christian Clemenson
United Passions,Drama,Frédéric Auburtin,Fisher Stevens
Universal Soldier: The Return,Action,Mic Rodgers,Michael Jai White
Unknown,Action,Jaume Collet-Serra,Liam Neeson
Unknown,Action,Jaume Collet-Serra,Liam Neeson
Unleashed,Action,Louis Leterrier,Morgan Freeman
Unnatural,Action,Hank Braxtan,Q'orianka Kilcher
Unstoppable,Action,Tony Scott,Denzel Washington
Unsullied,Action,Simeon Rice,Ward G. Smith
Untraceable,Crime,Gregory Hoblit,Billy Burke
Up,Adventure,Pete Docter,John Ratzenberger
Up Close & Personal,Drama,Jon Avnet,Joe Mantegna
Up in the Air,Drama,Jason Reitman,J.K. Simmons
Urban Legend,Horror,Jamie Blanks,Alicia Witt
Urban Legends: Final Cut,Horror,John Ottman,Loretta Devine
Urbania,Drama,Jon Shear,Dan Futterman
Vaalu,Comedy,Vijay Chandar,Hansika Motwani
Vacation,Adventure,John Francis Daley,Chris Hemsworth
Valentine,Horror,Jamie Blanks,Marley Shelton
Valentine's Day,Comedy,Garry Marshall,Bradley Cooper
Valiant,Adventure,Gary Chapman,Jim Broadbent
Valkyrie,Drama,Bryan Singer,Tom Cruise
Valley of the Heart's Delight,Drama,Tim Boxell,Bruce McGill
Valley of the Wolves: Iraq,Action,Serdar Akar,Necati Sasmaz
Vampire in Brooklyn,Comedy,Wes Craven,John Witherspoon
Vampire Killers,Action,Phil Claydon,MyAnna Buring
Vampires,Action,John Carpenter,Sheryl Lee
Vampires Suck,Comedy,Jason Friedberg,Diedrich Bader
Vamps,Comedy,Amy Heckerling,Taylor Negron
Van Wilder: Party Liaison,Comedy,Walt Becker,Ryan Reynolds
Vanilla Sky,Fantasy,Cameron Crowe,Tom Cruise
Vanity Fair,Drama,Mira Nair,Romola Garai
Vantage Point,Crime,Pete Travis,Dennis Quaid
Varsity Blues,Comedy,Brian Robbins,Paul Walker
Veer-Zaara,Drama,Yash Chopra,Shah Rukh Khan
Velvet Goldmine,Drama,Todd Haynes,Christian Bale
Vera Drake,Crime,Mike Leigh,Eddie Marsan
Veronica Guerin,Biography,Joel Schumacher,Brenda Fricker
Veronika Decides to Die,Drama,Emily Young,Sarah Michelle Gellar
Vertical Limit,Action,Martin Campbell,Nicholas Lea
